gene_id	HF3_Cbr	HF3_Cni
I.g1171.t1__Cnig_chr_I.g662.t1	2	4
I.g1172.t1__Cnig_chr_I.g663.t2	615	226
I.g1173.t2__Cnig_chr_I.g666.t3	67	85
I.g1175.t2__Cnig_chr_I.g668.t2	504	504
I.g1176.t1__Cnig_chr_I.g674.t1	7	0
I.g1180.t1__Cnig_chr_I.g698.t1	74	71
I.g1181.t1__Cnig_chr_I.g697.t1	365	344
I.g1182.t2__Cnig_chr_I.g696.t1	181	158
I.g1183.t1__Cnig_chr_I.g695.t1	284	280
I.g1184.t1__Cnig_chr_I.g694.t2	755	737
I.g1185.t1__Cnig_chr_I.g693.t1	3	2
I.g1186.t1__Cnig_chr_I.g692.t1	114	114
I.g1187.t1__Cnig_chr_I.g691.t1	2551	2552
I.g1188.t1__Cnig_chr_I.g690.t1	2123	2125
I.g1189.t1__Cnig_chr_I.g689.t1	275	302
I.g1190.t1__Cnig_chr_I.g688.t1	71	65
I.g1191.t1__Cnig_chr_I.g687.t1	1	1
I.g1195.t1__Cnig_chr_I.g683.t2	1	1
I.g1196.t1__Cnig_chr_I.g682.t3	736	719
I.g1197.t1__Cnig_chr_I.g680.t1	845	138
I.g1198.t1__Cnig_chr_I.g702.t1	148	140
I.g1199.t1__Cnig_chr_I.g704.t1	10	4
I.g1200.t1__Cnig_chr_I.g705.t1	8	7
I.g1201.t1__Cnig_chr_I.g706.t1	2	1
I.g1205.t1__Cnig_chr_I.g676.t1	0	0
I.g1211.t2__Cnig_chr_I.g751.t1	454	262
I.g1212.t1__Cnig_chr_I.g752.t1	1299	1303
I.g1213.t3__Cnig_chr_I.g753.t3	9	2
I.g1217.t1__Cnig_chr_I.g763.t1	1266	1226
I.g1218.t2__Cnig_chr_I.g766.t1	141	63
I.g1221.t1__Cnig_chr_I.g778.t1	31	7
I.g1222.t1__Cnig_chr_I.g779.t1	31	6
I.g1226.t1__Cnig_chr_I.g549.t1	283	149
I.g1232.t1__Cnig_chr_I.g788.t1	141	155
I.g1233.t1__Cnig_chr_I.g787.t1	146	135
I.g1234.t1__Cnig_chr_I.g786.t1	241	238
I.g1235.t2__Cnig_chr_I.g785.t1	15	13
I.g1236.t2__Cnig_chr_I.g784.t1	40	39
I.g1237.t1__Cnig_chr_I.g783.t1	421	301
I.g1241.t1__Cnig_chr_I.g794.t1	63	63
I.g1242.t1__Cnig_chr_I.g795.t3	465	469
I.g1243.t1__Cnig_chr_I.g798.t1	3299	3305
I.g1244.t1__Cnig_chr_I.g799.t1	101	96
I.g1245.t1__Cnig_chr_I.g800.t1	306	319
I.g1246.t1__Cnig_chr_I.g803.t1	395	382
I.g1247.t1__Cnig_chr_I.g804.t1	168	170
I.g1248.t3__Cnig_chr_I.g805.t1	151	149
I.g1249.t1__Cnig_chr_I.g806.t1	254	255
I.g1252.t1__Cnig_chr_I.g809.t3	14	13
I.g1254.t3__Cnig_chr_I.g811.t1	999	799
I.g1255.t1__Cnig_chr_I.g814.t1	2	1
I.g1256.t3__Cnig_chr_I.g815.t2	2	2
I.g1258.t2__Cnig_chr_I.g818.t1	578	567
I.g1259.t1__Cnig_chr_I.g819.t1	22	22
I.g1263.t1__Cnig_chr_I.g825.t1	3488	3007
I.g1264.t3__Cnig_chr_I.g830.t1	391	393
I.g1265.t1__Cnig_chr_I.g831.t1	278	266
I.g1266.t2__Cnig_chr_I.g833.t1	610	309
I.g1268.t1__Cnig_chr_I.g835.t2	49	161
I.g1269.t1__Cnig_chr_I.g836.t1	574	498
I.g1271.t2__Cnig_chr_I.g838.t2	2	7
I.g1272.t1__Cnig_chr_I.g839.t1	251	253
I.g1273.t2__Cnig_chr_I.g840.t1	164	165
I.g1274.t1__Cnig_chr_I.g841.t1	9	11
I.g1275.t1__Cnig_chr_I.g842.t1	321	319
I.g1276.t1__Cnig_chr_I.g843.t1	413	403
I.g1280.t1__Cnig_chr_I.g851.t1	112	107
I.g1281.t2__Cnig_chr_I.g852.t1	32	32
I.g1282.t1__Cnig_chr_I.g853.t1	21	21
I.g1283.t1__Cnig_chr_I.g854.t1	0	0
I.g1285.t3__Cnig_chr_I.g856.t1	0	1
I.g1287.t2__Cnig_chr_I.g857.t1	7	3
I.g1288.t1__Cnig_chr_I.g858.t1	390	400
I.g1289.t1__Cnig_chr_I.g859.t1	743	741
I.g1290.t1__Cnig_chr_I.g860.t1	68	69
I.g1291.t1__Cnig_chr_I.g861.t1	314	317
I.g1292.t3__Cnig_chr_I.g862.t2	1096	1100
I.g1293.t1__Cnig_chr_I.g864.t1	1938	1951
I.g1295.t1__Cnig_chr_I.g865.t2	76	106
I.g1296.t2__Cnig_chr_I.g866.t3	5	4
I.g1297.t1__Cnig_chr_I.g867.t1	176	173
I.g1298.t1__Cnig_chr_I.g868.t1	278	279
I.g1299.t1__Cnig_chr_I.g869.t1	787	738
I.g1300.t3__Cnig_chr_I.g870.t3	934	852
I.g1306.t1__Cnig_chr_I.g872.t1	0	0
I.g1309.t1__Cnig_chr_I.g874.t1	23	24
I.g1311.t1__Cnig_chr_I.g875.t3	95	211
I.g1313.t1__Cnig_chr_I.g878.t1	807	784
I.g1314.t3__Cnig_chr_I.g879.t1	28	30
I.g1315.t1__Cnig_chr_I.g880.t1	12	13
I.g1316.t1__Cnig_chr_I.g881.t2	501	510
I.g1317.t1__Cnig_chr_I.g882.t1	247	248
I.g1318.t3__Cnig_chr_I.g883.t1	26	25
I.g1319.t1__Cnig_chr_I.g884.t1	4	4
I.g1320.t1__Cnig_chr_I.g885.t1	1	0
I.g1321.t3__Cnig_chr_I.g886.t2	1	1
I.g1322.t1__Cnig_chr_I.g887.t1	965	966
I.g1323.t1__Cnig_chr_I.g888.t1	258	259
I.g1325.t1__Cnig_chr_I.g890.t1	25	25
I.g1326.t1__Cnig_chr_I.g892.t1	1	0
I.g1327.t3__Cnig_chr_I.g893.t1	58	41
I.g1328.t1__Cnig_chr_I.g899.t1	328	346
I.g1329.t1__Cnig_chr_I.g901.t2	47	47
I.g1330.t1__Cnig_chr_I.g902.t1	5	3
I.g1331.t1__Cnig_chr_I.g903.t1	705	703
I.g1332.t2__Cnig_chr_I.g904.t1	21	22
I.g1333.t2__Cnig_chr_I.g905.t1	696	753
I.g1334.t1__Cnig_chr_I.g906.t1	1180	1183
I.g1336.t1__Cnig_chr_I.g908.t1	443	357
I.g1337.t1__Cnig_chr_I.g909.t1	3079	3096
I.g1339.t1__Cnig_chr_I.g928.t1	10	11
I.g1340.t2__Cnig_chr_I.g929.t1	8	8
I.g1341.t1__Cnig_chr_I.g930.t1	1126	1090
I.g1342.t1__Cnig_chr_I.g931.t1	4	4
I.g1343.t2__Cnig_chr_I.g932.t1	388	344
I.g1344.t1__Cnig_chr_I.g933.t1	87	87
I.g1347.t1__Cnig_chr_I.g934.t1	12	13
I.g1348.t1__Cnig_chr_I.g935.t1	1	1
I.g1349.t1__Cnig_chr_I.g938.t2	6	6
I.g1350.t2__Cnig_chr_I.g940.t1	866	641
I.g1351.t1__Cnig_chr_I.g941.t1	707	704
I.g1352.t1__Cnig_chr_I.g942.t1	222	161
I.g1353.t1__Cnig_chr_I.g949.t1	45	44
I.g1354.t1__Cnig_chr_I.g950.t2	136	134
I.g1355.t1__Cnig_chr_I.g951.t1	13	13
I.g1356.t4__Cnig_chr_I.g952.t1	1325	1328
I.g1357.t4__Cnig_chr_I.g953.t1	6	6
I.g1359.t1__Cnig_chr_I.g954.t1	50	46
I.g1360.t1__Cnig_chr_I.g956.t2	2	2
I.g1361.t1__Cnig_chr_I.g957.t1	511	515
I.g1362.t1__Cnig_chr_I.g958.t1	196	196
I.g1363.t1__Cnig_chr_I.g959.t1	333	1260
I.g1364.t1__Cnig_chr_I.g990.t1	0	2
I.g1365.t1__Cnig_chr_I.g989.t1	1	2
I.g1366.t3__Cnig_chr_I.g988.t2	91	90
I.g1367.t1__Cnig_chr_I.g986.t1	0	0
I.g1368.t1__Cnig_chr_I.g985.t1	0	0
I.g1369.t1__Cnig_chr_I.g983.t1	2	1
I.g1370.t1__Cnig_chr_I.g982.t2	4	5
I.g1371.t3__Cnig_chr_I.g981.t2	1	0
I.g1372.t1__Cnig_chr_I.g980.t1	446	107
I.g1373.t2__Cnig_chr_I.g979.t3	8	8
I.g1374.t2__Cnig_chr_I.g978.t1	102	101
I.g1376.t2__Cnig_chr_I.g977.t1	0	1
I.g1377.t3__Cnig_chr_I.g976.t2	13	18
I.g1378.t2__Cnig_chr_I.g975.t1	282	286
I.g1379.t1__Cnig_chr_I.g974.t1	123	123
I.g1380.t1__Cnig_chr_I.g973.t1	486	486
I.g1381.t1__Cnig_chr_I.g972.t1	1035	941
I.g1382.t1__Cnig_chr_I.g971.t1	205	204
I.g1383.t2__Cnig_chr_I.g970.t1	14	14
I.g1387.t2__Cnig_chr_I.g968.t1	79	78
I.g1388.t1__Cnig_chr_I.g967.t1	814	616
I.g1389.t1__Cnig_chr_I.g966.t1	100	97
I.g1390.t1__Cnig_chr_I.g964.t1	35	35
I.g1391.t1__Cnig_chr_I.g963.t1	3	2
I.g1392.t1__Cnig_chr_I.g962.t1	512	523
I.g1394.t1__Cnig_chr_I.g961.t1	458	477
I.g1395.t1__Cnig_chr_I.g960.t2	371	383
I.g1397.t1__Cnig_chr_I.g991.t1	1	3
I.g1398.t1__Cnig_chr_I.g992.t1	551	196
I.g1399.t2__Cnig_chr_I.g994.t1	2	1
I.g1400.t1__Cnig_chr_I.g995.t1	1	1
I.g1401.t2__Cnig_chr_I.g996.t1	260	260
I.g1402.t1__Cnig_chr_I.g997.t1	2	2
I.g1403.t1__Cnig_chr_I.g998.t1	308	304
I.g1404.t1__Cnig_chr_I.g1000.t1	483	368
I.g1405.t1__Cnig_chr_I.g1001.t1	3981	3978
I.g1406.t1__Cnig_chr_I.g1002.t1	1165	1164
I.g1407.t1__Cnig_chr_I.g1004.t1	131	58
I.g1408.t1__Cnig_chr_I.g1005.t1	147	140
I.g1409.t2__Cnig_chr_I.g1006.t1	508	498
I.g1410.t1__Cnig_chr_I.g1007.t1	489	1346
I.g1412.t2__Cnig_chr_I.g1009.t1	3285	908
I.g1413.t1__Cnig_chr_I.g1010.t1	176	157
I.g1414.t1__Cnig_chr_I.g1011.t1	1089	1109
I.g1415.t1__Cnig_chr_I.g1012.t1	260	266
I.g1416.t1__Cnig_chr_I.g1013.t2	640	637
I.g1417.t1__Cnig_chr_I.g1015.t1	489	518
I.g1418.t1__Cnig_chr_I.g1016.t1	0	2
I.g1419.t1__Cnig_chr_I.g1019.t1	47	46
I.g1422.t1__Cnig_chr_I.g1020.t1	3	3
I.g1423.t1__Cnig_chr_I.g1021.t1	0	0
I.g1424.t1__Cnig_chr_I.g1022.t1	3	2
I.g1425.t1__Cnig_chr_I.g1023.t2	19	20
I.g1426.t2__Cnig_chr_I.g1025.t2	570	565
I.g1427.t3__Cnig_chr_I.g1026.t1	1586	1191
I.g1428.t1__Cnig_chr_I.g1028.t1	278	275
I.g1429.t1__Cnig_chr_I.g1029.t1	162	158
I.g1430.t2__Cnig_chr_I.g1030.t2	4	4
I.g1431.t1__Cnig_chr_I.g1031.t1	489	228
I.g1432.t1__Cnig_chr_I.g1032.t1	320	318
I.g1434.t1__Cnig_chr_I.g1034.t1	337	291
I.g1435.t1__Cnig_chr_I.g1035.t1	348	347
I.g1436.t1__Cnig_chr_I.g1036.t1	283	288
I.g1437.t2__Cnig_chr_I.g1037.t1	39	44
I.g1438.t3__Cnig_chr_I.g1038.t3	506	501
I.g1439.t1__Cnig_chr_I.g1039.t1	239	241
I.g1440.t1__Cnig_chr_I.g1040.t1	207	206
I.g1441.t3__Cnig_chr_I.g1041.t3	407	321
I.g1443.t1__Cnig_chr_I.g1042.t2	70	70
I.g1444.t1__Cnig_chr_I.g1043.t1	105	117
I.g1445.t1__Cnig_chr_I.g1044.t1	1	1
I.g1446.t1__Cnig_chr_I.g1045.t1	5	6
I.g1447.t1__Cnig_chr_I.g1046.t1	3	4
I.g1449.t1__Cnig_chr_I.g1047.t1	1	1
I.g1450.t1__Cnig_chr_I.g1048.t1	3	0
I.g1451.t1__Cnig_chr_I.g1050.t1	29	30
I.g1452.t1__Cnig_chr_I.g1051.t1	448	415
I.g1453.t1__Cnig_chr_I.g1052.t1	528	520
I.g1454.t3__Cnig_chr_I.g1053.t2	2929	2920
I.g1455.t1__Cnig_chr_I.g1054.t1	1926	1919
I.g1456.t3__Cnig_chr_I.g1056.t1	608	462
I.g1457.t1__Cnig_chr_I.g1057.t1	265	259
I.g1459.t1__Cnig_chr_I.g1058.t2	162	353
I.g1460.t1__Cnig_chr_I.g1059.t2	535	538
I.g1461.t1__Cnig_chr_I.g1060.t1	762	770
I.g1462.t3__Cnig_chr_I.g1062.t1	36	1
I.g1463.t1__Cnig_chr_I.g1063.t1	0	1
I.g1464.t1__Cnig_chr_I.g1064.t1	15	11
I.g1465.t1__Cnig_chr_I.g1065.t1	1046	1038
I.g1466.t3__Cnig_chr_I.g1066.t3	13	13
I.g1467.t3__Cnig_chr_I.g1067.t1	1	0
I.g1468.t1__Cnig_chr_I.g1069.t1	1	0
I.g1469.t1__Cnig_chr_I.g1070.t1	2	0
I.g1470.t3__Cnig_chr_I.g1071.t3	5	5
I.g1473.t1__Cnig_chr_I.g1073.t1	5	0
I.g1475.t1__Cnig_chr_I.g1078.t2	0	0
I.g1476.t1__Cnig_chr_I.g1079.t1	1	3
I.g1479.t1__Cnig_chr_I.g1080.t1	0	1
I.g1482.t1__Cnig_chr_I.g1085.t2	458	225
I.g1483.t1__Cnig_chr_I.g1291.t3	173	204
I.g1487.t2__Cnig_chr_I.g1099.t1	0	0
I.g1488.t2__Cnig_chr_I.g1101.t2	148	62
I.g1489.t1__Cnig_chr_I.g1102.t1	35	35
I.g1490.t3__Cnig_chr_I.g1103.t1	335	334
I.g1491.t2__Cnig_chr_I.g1105.t1	706	738
I.g1492.t2__Cnig_chr_I.g1106.t1	916	924
I.g1493.t1__Cnig_chr_I.g1107.t1	724	727
I.g1494.t1__Cnig_chr_I.g1108.t1	838	831
I.g1495.t1__Cnig_chr_I.g1110.t1	14	22
I.g1498.t1__Cnig_chr_I.g1111.t1	52	82
I.g1499.t1__Cnig_chr_I.g1112.t1	279	907
I.g1501.t1__Cnig_chr_I.g1113.t1	321	399
I.g1502.t1__Cnig_chr_I.g1114.t1	3858	3863
I.g1503.t1__Cnig_chr_I.g1115.t1	20	21
I.g1504.t1__Cnig_chr_I.g1116.t2	776	803
I.g1505.t2__Cnig_chr_I.g1117.t1	452	32
I.g1506.t3__Cnig_chr_I.g1118.t1	88	88
I.g1507.t1__Cnig_chr_I.g1119.t1	3	1
I.g1509.t4__Cnig_chr_I.g1122.t4	520	580
I.g1510.t1__Cnig_chr_I.g1123.t1	603	593
I.g1512.t1__Cnig_chr_I.g1124.t1	4	1
I.g1513.t1__Cnig_chr_I.g1125.t2	1682	1677
I.g1514.t1__Cnig_chr_I.g1126.t1	1463	1472
I.g1515.t2__Cnig_chr_I.g1127.t2	930	912
I.g1516.t1__Cnig_chr_I.g1128.t1	132	132
I.g1518.t1__Cnig_chr_I.g1129.t1	656	659
I.g1519.t2__Cnig_chr_I.g1130.t1	2	1
I.g1520.t1__Cnig_chr_I.g1131.t1	34	29
I.g1521.t1__Cnig_chr_I.g1132.t2	179	173
I.g1522.t1__Cnig_chr_I.g1133.t2	1080	1081
I.g1523.t1__Cnig_chr_I.g1134.t1	1175	701
I.g1525.t1__Cnig_chr_I.g1138.t1	65	60
I.g1526.t2__Cnig_chr_I.g1139.t2	112	112
I.g1528.t1__Cnig_chr_I.g1140.t1	627	609
I.g1529.t1__Cnig_chr_I.g1141.t1	593	603
I.g1530.t1__Cnig_chr_I.g1142.t1	905	908
I.g1531.t1__Cnig_chr_I.g1143.t2	35	34
I.g1533.t1__Cnig_chr_I.g1144.t3	249	555
I.g1534.t1__Cnig_chr_I.g1145.t1	50	50
I.g1535.t1__Cnig_chr_I.g1146.t2	288	281
I.g1536.t1__Cnig_chr_I.g1147.t2	255	258
I.g1537.t2__Cnig_chr_I.g1148.t2	38	39
I.g1538.t2__Cnig_chr_I.g1149.t1	175	176
I.g1539.t2__Cnig_chr_I.g1150.t1	890	893
I.g1540.t1__Cnig_chr_I.g1151.t2	173	169
I.g1541.t3__Cnig_chr_I.g1152.t3	2	1
I.g1542.t1__Cnig_chr_I.g1154.t1	2	0
I.g1543.t1__Cnig_chr_I.g1155.t1	3	0
I.g1544.t1__Cnig_chr_I.g1156.t1	3	0
I.g1545.t1__Cnig_chr_I.g1157.t2	4	0
I.g1546.t1__Cnig_chr_I.g1158.t1	0	1
I.g1547.t1__Cnig_chr_I.g1159.t1	1	1
I.g1548.t1__Cnig_chr_I.g1160.t1	532	521
I.g1549.t1__Cnig_chr_I.g1161.t1	113	114
I.g1550.t2__Cnig_chr_I.g1162.t1	3	5
I.g1551.t1__Cnig_chr_I.g1163.t1	574	573
I.g1552.t1__Cnig_chr_I.g1164.t1	843	854
I.g1553.t2__Cnig_chr_I.g1165.t2	291	290
I.g1554.t1__Cnig_chr_I.g1166.t1	1	0
I.g1555.t1__Cnig_chr_I.g1167.t2	0	0
I.g1556.t1__Cnig_chr_I.g1168.t1	0	2
I.g1557.t1__Cnig_chr_I.g1169.t1	1	3
I.g1558.t1__Cnig_chr_I.g1170.t1	477	490
I.g1560.t2__Cnig_chr_I.g1171.t3	214	328
I.g1562.t1__Cnig_chr_I.g1172.t2	212	325
I.g1563.t1__Cnig_chr_I.g1173.t2	607	605
I.g1564.t1__Cnig_chr_I.g1175.t1	449	412
I.g1565.t1__Cnig_chr_I.g1176.t2	10	9
I.g1566.t1__Cnig_chr_I.g1177.t1	159	156
I.g1567.t1__Cnig_chr_I.g1178.t1	4	4
I.g1568.t1__Cnig_chr_I.g1179.t1	0	0
I.g1569.t1__Cnig_chr_I.g1180.t1	18	6
I.g1571.t3__Cnig_chr_I.g1182.t2	6	2
I.g1572.t1__Cnig_chr_I.g1183.t1	221	354
I.g1575.t2__Cnig_chr_I.g1184.t1	750	663
I.g1576.t1__Cnig_chr_I.g1185.t3	530	526
I.g1577.t1__Cnig_chr_I.g1187.t1	254	254
I.g1578.t1__Cnig_chr_I.g1188.t1	222	221
I.g1579.t1__Cnig_chr_I.g1189.t1	188	190
I.g1581.t2__Cnig_chr_I.g1191.t1	1	2
I.g1582.t1__Cnig_chr_I.g1192.t1	0	1
I.g1584.t1__Cnig_chr_I.g1193.t1	5	6
I.g1585.t1__Cnig_chr_I.g1194.t1	441	442
I.g1586.t1__Cnig_chr_I.g1195.t1	434	434
I.g1587.t1__Cnig_chr_I.g1196.t1	613	623
I.g1588.t3__Cnig_chr_I.g1197.t1	558	352
I.g1589.t1__Cnig_chr_I.g1198.t1	10	11
I.g1591.t1__Cnig_chr_I.g1201.t1	762	744
I.g1592.t1__Cnig_chr_I.g1202.t1	467	487
I.g1593.t1__Cnig_chr_I.g1203.t1	12	3
I.g1594.t1__Cnig_chr_I.g1204.t1	298	298
I.g1595.t1__Cnig_chr_I.g1205.t1	756	758
I.g1596.t2__Cnig_chr_I.g1206.t1	4	3
I.g1597.t1__Cnig_chr_I.g1207.t1	722	721
I.g1598.t2__Cnig_chr_I.g1208.t3	702	704
I.g1599.t1__Cnig_chr_I.g1209.t1	376	376
I.g1601.t1__Cnig_chr_I.g1211.t1	5	9
I.g1603.t1__Cnig_chr_I.g1213.t1	0	10
I.g1604.t1__Cnig_chr_I.g1214.t1	0	10
I.g1605.t1__Cnig_chr_I.g1215.t2	0	12
I.g1610.t1__Cnig_chr_I.g1216.t2	619	614
I.g1611.t1__Cnig_chr_I.g1217.t1	324	335
I.g1614.t1__Cnig_chr_I.g1220.t1	22	25
I.g1615.t1__Cnig_chr_I.g1221.t1	487	497
I.g1616.t1__Cnig_chr_I.g1222.t2	1502	1499
I.g1617.t1__Cnig_chr_I.g1224.t1	802	794
I.g1618.t1__Cnig_chr_I.g1225.t2	16605	14842
I.g1619.t1__Cnig_chr_I.g1226.t1	1101	1093
I.g1620.t2__Cnig_chr_I.g1227.t1	471	253
I.g1621.t1__Cnig_chr_I.g1228.t1	206	418
I.g1623.t1__Cnig_chr_I.g1229.t1	55	55
I.g1624.t1__Cnig_chr_I.g1230.t1	1	1
I.g1625.t2__Cnig_chr_I.g1231.t1	530	547
I.g1626.t2__Cnig_chr_I.g1232.t1	3	5
I.g1627.t1__Cnig_chr_I.g1233.t1	289	291
I.g1628.t1__Cnig_chr_I.g1234.t2	65	52
I.g1629.t1__Cnig_chr_I.g1235.t1	145	145
I.g1630.t1__Cnig_chr_I.g1236.t1	269	270
I.g1631.t1__Cnig_chr_I.g1237.t2	5	3
I.g1633.t1__Cnig_chr_I.g1239.t1	35	33
I.g1635.t2__Cnig_chr_I.g1242.t3	29	29
